id,name,is_animation_studio,site_url,favorites
6197,Tate Anime,False,https://anilist.co/studio/6197,0
6633,Anime Beans,False,https://anilist.co/studio/6633,3
6187,xenron,False,https://anilist.co/studio/6187,1
819,NEXT Animation Studio,True,https://anilist.co/studio/819,1
7212,Magical Kingdom Anime (HK),False,https://anilist.co/studio/7212,0
6157,Twilight Studio,False,https://anilist.co/studio/6157,4
6668,Cloud22,False,https://anilist.co/studio/6668,0
6945,Picante Circus,False,https://anilist.co/studio/6945,0
6469,China Literature,False,https://anilist.co/studio/6469,11
6486,K.PICTURES,True,https://anilist.co/studio/6486,1
6160,Shimogumi,False,https://anilist.co/studio/6160,1
7492,Atelier Platz,True,https://anilist.co/studio/7492,0
6162,Foch,True,https://anilist.co/studio/6162,20
6265,Wawayu Animation,False,https://anilist.co/studio/6265,5
6172,Yaoqi,False,https://anilist.co/studio/6172,0
6173,EBS,False,https://anilist.co/studio/6173,1
6211,Thundray,False,https://anilist.co/studio/6211,3
6174,Penta Show Studios,False,https://anilist.co/studio/6174,1
6485,B.CMAY PICTURES,True,https://anilist.co/studio/6485,64
6176,L² Studio,True,https://anilist.co/studio/6176,3
6378,TrioPen Studio,True,https://anilist.co/studio/6378,1
6832,Qiying Animation,True,https://anilist.co/studio/6832,2
6387,Alpha Animation,False,https://anilist.co/studio/6387,4
6186,comico,False,https://anilist.co/studio/6186,1
7165,Rainbridge Animation,True,https://anilist.co/studio/7165,0
6348,iDRAGONS Creative Studio,True,https://anilist.co/studio/6348,0
6295,GAINAX Kyoto,True,https://anilist.co/studio/6295,2
7386,Alcon Entertainment,False,https://anilist.co/studio/7386,0
7091,YAMATOWORKS,True,https://anilist.co/studio/7091,2
811,Hangzhou Shimei Pictures,True,https://anilist.co/studio/811,1
7344,Studio Nanahoshi,True,https://anilist.co/studio/7344,2
6351,Magia Doraglier,True,https://anilist.co/studio/6351,0
6196,BITGANG,False,https://anilist.co/studio/6196,0
6272,Flying Ship Studio,False,https://anilist.co/studio/6272,1
6198,Helo,False,https://anilist.co/studio/6198,0
6223,Frencel,False,https://anilist.co/studio/6223,0
6200,Studio Dadashow,False,https://anilist.co/studio/6200,0
6201,EKACHI EPILKA,False,https://anilist.co/studio/6201,7
7213,Shion,True,https://anilist.co/studio/7213,2
6262,Children's Playground Media,False,https://anilist.co/studio/6262,0
6204,Space Shower Music,False,https://anilist.co/studio/6204,0
6205,KJJ Animation,False,https://anilist.co/studio/6205,2
6207,2:10 Animation,False,https://anilist.co/studio/6207,3
6208,Kinyosha,False,https://anilist.co/studio/6208,1
6209,RX-RECORDS,False,https://anilist.co/studio/6209,0
6210,UK.PROJECT INC.,False,https://anilist.co/studio/6210,0
6580,Suiseisha,False,https://anilist.co/studio/6580,11
6214,Digital Network Animation,False,https://anilist.co/studio/6214,3
6215,UWAN Pictures,False,https://anilist.co/studio/6215,0
6221,GRIZZLY,False,https://anilist.co/studio/6221,18
6634,East Fish Studio,True,https://anilist.co/studio/6634,0
6252,Lesprit,False,https://anilist.co/studio/6252,2
6224,Decovocal,False,https://anilist.co/studio/6224,0
6225,TriF studio,False,https://anilist.co/studio/6225,14
6475,Ruo Hong Culture,True,https://anilist.co/studio/6475,28
6394,Magilm Pictures,True,https://anilist.co/studio/6394,2
7056,Magilm Comic,False,https://anilist.co/studio/7056,0
6991,Yuewen Animation & Comics,False,https://anilist.co/studio/6991,6
6959,Feng Donghua Culture,True,https://anilist.co/studio/6959,0
6226,ark,False,https://anilist.co/studio/6226,3
6536,Transcendence Picture,True,https://anilist.co/studio/6536,1
6266,Light Chaser Animation,True,https://anilist.co/studio/6266,16
6237,Saetta,False,https://anilist.co/studio/6237,2
6479,Rocen,True,https://anilist.co/studio/6479,3
6408,Echoes,False,https://anilist.co/studio/6408,1
6961,Global Digital Creations,False,https://anilist.co/studio/6961,1
6846,Wulifang Animation,True,https://anilist.co/studio/6846,2
6228,Boyan Pictures,False,https://anilist.co/studio/6228,0
6530,Youku,False,https://anilist.co/studio/6530,11
6814,Studio Ugoki,True,https://anilist.co/studio/6814,0
6362,Audio Graphics Institute,False,https://anilist.co/studio/6362,0
6322,Seven Stone Entertainment,True,https://anilist.co/studio/6322,3
7132,Joy Works,False,https://anilist.co/studio/7132,0
6227,Minakata Laboratory,False,https://anilist.co/studio/6227,1
6304,LICO,False,https://anilist.co/studio/6304,12
6927,Jiang Toon Animation,True,https://anilist.co/studio/6927,0
6911,Dawn Picture,True,https://anilist.co/studio/6911,0
6470,Motion Magic,True,https://anilist.co/studio/6470,24
6327,YHKT Entertainment,True,https://anilist.co/studio/6327,8
6481,CG Year,True,https://anilist.co/studio/6481,6
6319,ASK Animation Studio,True,https://anilist.co/studio/6319,7
6546,GARDEN,True,https://anilist.co/studio/6546,4
6229,The National Film Center Japan,False,https://anilist.co/studio/6229,0
6230,NEXT,False,https://anilist.co/studio/6230,0
6426,HMCH,True,https://anilist.co/studio/6426,15
6449,l-a-unch・BOX,True,https://anilist.co/studio/6449,1
7030,Promotal,False,https://anilist.co/studio/7030,0
6232,CCTV Animation,True,https://anilist.co/studio/6232,1
6234,Coastline Animation Studio,False,https://anilist.co/studio/6234,3
6877,F.M.F,False,https://anilist.co/studio/6877,0
6247,Nice Boat Animation,False,https://anilist.co/studio/6247,19
6326,Gudong Animation Studio,True,https://anilist.co/studio/6326,1
6385,Yi Chen Animation,True,https://anilist.co/studio/6385,1
7236,Production Ace,False,https://anilist.co/studio/7236,1
6344,Mili Pictures,True,https://anilist.co/studio/6344,4
6250,Fancy Realize Media,False,https://anilist.co/studio/6250,8
6388,7doc,True,https://anilist.co/studio/6388,0
6804,TUBAn,True,https://anilist.co/studio/6804,0
6381,FENZ,True,https://anilist.co/studio/6381,6
6710,E-DEHI Animation Studio,True,https://anilist.co/studio/6710,1
6236,An♥Tekinus,False,https://anilist.co/studio/6236,120
6325,One & All Animation Studio,True,https://anilist.co/studio/6325,3
6632,POEYAMAworks,False,https://anilist.co/studio/6632,0
6171,Exit Tunes,False,https://anilist.co/studio/6171,1
6669,Rakuten,False,https://anilist.co/studio/6669,1
6244,Master Lights,False,https://anilist.co/studio/6244,0
6547,Qiyuan Yinghua,True,https://anilist.co/studio/6547,4
6246,Tear-Studio,True,https://anilist.co/studio/6246,8
6508,Yudubai Animation,True,https://anilist.co/studio/6508,1
6276,Acca effe,False,https://anilist.co/studio/6276,0
6718,Qianqi Cartoon,True,https://anilist.co/studio/6718,1
6495,MAKING ANIMATION,True,https://anilist.co/studio/6495,1
6275,Polygon Magic,False,https://anilist.co/studio/6275,0
6487,Wanda Film,False,https://anilist.co/studio/6487,2
7235,Being,False,https://anilist.co/studio/7235,0
6880,Chuukyou TV Broadcasting,False,https://anilist.co/studio/6880,0
7209,Shounen Gahousha,False,https://anilist.co/studio/7209,0
7022,TEATRO Nishi Tokyo Studio,True,https://anilist.co/studio/7022,5
6900,Asura Film,True,https://anilist.co/studio/6900,0
6260,Lide,False,https://anilist.co/studio/6260,0
6558,Visual Flight,True,https://anilist.co/studio/6558,15
6263,Samsara Studio,False,https://anilist.co/studio/6263,23
6723,Creative Power Entertaining,True,https://anilist.co/studio/6723,0
6264,Gekigadan,False,https://anilist.co/studio/6264,0
6269,Maro Studio,False,https://anilist.co/studio/6269,1
7478,AM Studios,False,https://anilist.co/studio/7478,0
6271,Griot Groove,False,https://anilist.co/studio/6271,1
6274,FgG,False,https://anilist.co/studio/6274,0
7410,GARNET,False,https://anilist.co/studio/7410,0
6478,Soyep,True,https://anilist.co/studio/6478,21
6519,BYMENT,True,https://anilist.co/studio/6519,4
6520,Tencent Pictures,False,https://anilist.co/studio/6520,5
6653,CHOSEN,True,https://anilist.co/studio/6653,1
7283,Daysview Animation,True,https://anilist.co/studio/7283,0
6333,Sharefun Studio,True,https://anilist.co/studio/6333,33
6697,Aha Entertainment,False,https://anilist.co/studio/6697,2
967,GRANTdesign,False,https://anilist.co/studio/967,0
6795,MMT,True,https://anilist.co/studio/6795,1
6303,Anima&Co. ,False,https://anilist.co/studio/6303,4
7441,SEGA Entertainment,False,https://anilist.co/studio/7441,0
6806,Touyou Recording,False,https://anilist.co/studio/6806,0
6360,HORNETS,True,https://anilist.co/studio/6360,16
7203,Mixer,False,https://anilist.co/studio/7203,0
7204,North Stars Pictures,False,https://anilist.co/studio/7204,0
7205,CA-Cygames Anime Fund,False,https://anilist.co/studio/7205,1
6379,Djinn Power,True,https://anilist.co/studio/6379,1
6392,Shengying Animation,True,https://anilist.co/studio/6392,3
6513,Seasun Pictures,False,https://anilist.co/studio/6513,0
6488,Sunac Pictures,False,https://anilist.co/studio/6488,0
6997,Bunka Housou,False,https://anilist.co/studio/6997,0
7005,Fosun,False,https://anilist.co/studio/7005,0
7384,BLUE LYNX,False,https://anilist.co/studio/7384,6
6627,Qubic Pictures,True,https://anilist.co/studio/6627,0
