studio_id,media_id,is_main
6620,10800,False
11,14397,True
29,14397,False
6620,14397,False
29,18745,False
11,18745,True
11,101215,True
6620,101215,False
858,16498,True
144,16498,False
159,16498,False
10,16498,False
53,16498,False
749,16498,False
143,16498,False
10,21281,True
858,99634,True
858,99147,True
144,99147,False
159,99147,False
10,99147,False
53,99147,False
749,99147,False
143,99147,False
858,104578,True
144,104578,False
159,104578,False
10,104578,False
53,104578,False
749,104578,False
143,104578,False
858,120257,True
858,108942,True
569,110277,True
144,110277,False
159,110277,False
10,110277,False
53,110277,False
143,110277,False
749,110277,False
569,131681,True
144,131681,False
159,131681,False
10,131681,False
53,131681,False
143,131681,False
749,131681,False
569,146984,True
144,146984,False
159,146984,False
10,146984,False
53,146984,False
143,146984,False
7373,146984,False
569,162314,True
144,162314,False
159,162314,False
10,162314,False
53,162314,False
143,162314,False
7373,162314,False
569,139754,True
858,119113,True
858,20958,True
144,20958,False
159,20958,False
10,20958,False
53,20958,False
749,20958,False
143,20958,False
102,20958,False
858,110640,True
858,100465,True
872,100465,False
102,100465,False
6454,100465,False
6771,100465,False
858,20692,True
6258,123078,True
6258,105973,True
6258,123077,True
10,21057,True
10,21056,True
10,17187,True
23,17187,False
102,17187,False
53,17187,False
159,17187,False
464,17187,False
245,17187,False
10,20776,True
10,19193,True
23,19193,False
102,19193,False
10,19195,True
23,19195,False
102,19195,False
10,19191,True
102,19191,False
10,120896,True
10,43,True
23,43,False
159,43,False
6444,43,False
10,4672,True
23,4672,False
10,467,True
159,467,False
178,467,False
233,467,False
382,467,False
10,801,True
23,801,False
53,801,False
123,801,False
233,801,False
382,801,False
10,2448,True
23,2448,False
233,2448,False
382,2448,False
10,2449,True
23,2449,False
140,2449,False
159,2449,False
233,2449,False
6771,2449,False
123,2449,False
10,10947,False
233,10947,False
10,1566,True
233,1566,False
6195,106154,True
10,106154,True
10,138899,True
6195,138899,True
6331,138899,False
464,138899,False
159,138899,False
10,117756,True
6195,117756,True
6787,117756,False
6195,163143,True
10,163143,True
7137,163143,False
10,10870,False
10,3447,False
233,3447,False
10,10948,False
233,10948,False
10,3485,False
233,3485,False
10,10949,False
10,1335,False
140,1335,False
233,1335,False
10,468,True
233,468,False
10,18989,False
318,98607,True
318,123056,True
858,20691,True
144,150005,False
10,20811,False
858,20811,True
858,18397,True
10,18397,False
143,18397,False
144,18397,False
159,18397,False
872,18397,False
10,19391,False
858,19391,True
200,103572,True
6180,109261,True
315,109261,False
6600,109261,False
6616,109261,False
159,109261,False
144,109261,False
6670,109261,False
6740,109261,False
6677,109261,False
6180,131520,True
145,131520,False
144,131520,False
145,163327,False
44,163327,True
73,113813,True
6584,113813,False
159,113813,False
143,113813,False
6421,113813,False
126,113813,False
957,106051,True
376,106051,False
6636,106051,False
6584,154745,False
159,154745,False
73,154745,True
143,154745,False
126,154745,False
6417,154385,True
73,124410,True
6584,124410,False
126,124410,False
159,124410,False
143,124410,False
6417,123901,True
6417,123464,True
6417,169526,True
7284,160447,True
6202,160447,False
159,160447,False
6421,160447,False
460,160447,False
6289,164172,True
287,105310,True
102,105310,False
6584,105310,False
6389,105310,False
159,105310,False
143,105310,False
287,114236,True
102,114236,False
6584,114236,False
6389,114236,False
159,114236,False
143,114236,False
159,149118,False
6389,149118,False
6636,149118,False
6584,149118,False
4,3588,True
16,3588,False
53,3588,False
58,3588,False
102,3588,False
325,3588,False
4,20547,True
102,20547,False
238,20547,False
53,20547,False
58,20547,False
16,20547,False
737,20547,False
6454,20547,False
4,21687,True
16,21687,False
17,21687,False
53,21687,False
102,21687,False
108,21687,False
28,107727,True
104,126611,False
104,148379,False
14,148379,True
