staff_id,occupation
127695,Animator
127695,Designer
153128,Animator
128169,Animator
128169,Designer
152189,Animator
157637,Animator
189234,Animator
158252,Composite Artist
268908,Composite Artist
238777,Photographer
125221,Director
125221,Storyboard Artist
133312,Animator
120350,Animator
143258,Animator
189503,Animator
148521,Animator
229339,Animator
243708,Letterer
99766,Mangaka
136558,Mangaka
193553,Mangaka
102447,Mangaka
100089,Director
100089,Storyboarder 
105083,Animator
105083,Designer
109343,Composer
104999,Pseudonym
151870,Director
151870,Storyboarder 
103584,Director
103584,Animator
138753,Editor
102675,Color Designer
146099,Composite Artist
103834,Sound Director
111333,Director
111333,Storyboarder 
107352,Director
107352,Animator
123511,Animator
123511,Designer
121199,Animator
105277,Director
121203,Animator
121203,Storyboard Artist
121927,Art Director
121928,Scriptwriter
97402,Mangaka
97402,Animator
156181,Producer
113803,Illustrator
97969,Mangaka
112641,Illustrator
105561,Musician
100961,Composer
100961,Arranger
121223,Director
121223,Storyboarder 
118601,Animator
118601,Designer
138762,Animator
107328,Director
122948,Animator
147700,Animator
128872,Animator
146106,Animator
144647,Director
144647,Animator
146676,Background Artist
106033,Painter
142252,Painter
221733,Production Manager
166659,Editor
156907,Editor
119868,Animator
171705,Editor
100254,Writer
100724,Artist
95028,Voice Actor
95052,Voice Actor
95061,Voice Actor
95099,Voice Actor
95185,Voice Actor
95185,Vocalist
101555,Composer
101753,Director
101753,Animator
102194,Audio Engineer
102194,Producer
103552,Director
103552,Storyboard Artist
103552,Animator
103594,Artist
182531,Digital Artist
108709,Animator
108709,Storyboard Artist
182535,Digital Artist
201207,Background Artist
110635,Background Artist
110639,Director
110639,Storyboarder 
124199,Animator
101583,Director
101583,Animator
101583,Designer
107535,Director
107535,Storyboard Artist
105982,Animator
105982,Designer
101526,Animator
101526,Designer
108537,Animator
124861,Animator
133058,Composite Artist
133058,Director
121201,Animator
122455,Animator
133401,Composite Artist
138769,Illustrator
138769,Animator
138767,Animator
138766,Animator
138763,Animator
138761,Animator
101188,Animator
118775,Animator
118775,Designer
118447,Animator
112637,Animator
107357,Animator
