media_id,related_media_id,relation_type
67755,21804,ADAPTATION
67755,98034,ADAPTATION
67755,61079,ALTERNATIVE
67755,104580,ADAPTATION
67755,112625,ADAPTATION
67755,69883,CHARACTER
67755,47119,CHARACTER
67755,151888,SIDE_STORY
104580,67755,ADAPTATION
104580,98034,PREQUEL
104580,112625,SEQUEL
112625,67755,ADAPTATION
112625,98034,PREQUEL
112625,104580,PREQUEL
98034,21804,PREQUEL
98034,67755,ADAPTATION
98034,104580,SEQUEL
98034,112625,SEQUEL
98034,918,CHARACTER
21804,67755,ADAPTATION
21804,98034,SEQUEL
21804,19469,ALTERNATIVE
21804,21170,CHARACTER
19469,67755,ADAPTATION
19469,21804,ALTERNATIVE
918,9969,SEQUEL
918,2951,SIDE_STORY
918,6945,SIDE_STORY
918,10643,SIDE_STORY
918,7472,ALTERNATIVE
918,20760,ALTERNATIVE
918,15335,OTHER
918,30044,ADAPTATION
918,111952,CHARACTER
918,98034,CHARACTER
918,162890,SPIN_OFF
6945,30044,ADAPTATION
6945,918,PARENT
30044,2951,ADAPTATION
30044,6945,ADAPTATION
30044,7472,ADAPTATION
30044,918,ADAPTATION
30044,15417,ADAPTATION
30044,20760,ADAPTATION
30044,20996,ADAPTATION
30044,21588,ADAPTATION
30044,97889,ADAPTATION
30044,95458,OTHER
30044,99714,ADAPTATION
30044,100784,ADAPTATION
30044,101925,ADAPTATION
30044,9969,ADAPTATION
30044,44022,SPIN_OFF
30044,52810,OTHER
30044,34836,OTHER
30044,114129,ADAPTATION
30044,126819,ADAPTATION
30044,31414,CHARACTER
30044,75757,CHARACTER
30044,169000,ADAPTATION
99714,97889,PREQUEL
99714,100784,SEQUEL
99714,30044,ADAPTATION
100784,99714,PREQUEL
100784,101925,SEQUEL
100784,30044,ADAPTATION
101925,100784,PREQUEL
101925,30044,ADAPTATION
101925,126819,SEQUEL
126819,114129,SEQUEL
126819,101925,PREQUEL
126819,30044,ADAPTATION
114129,30044,ADAPTATION
114129,126819,PREQUEL
97889,20996,PREQUEL
97889,99714,SEQUEL
97889,30044,ADAPTATION
20996,15417,PREQUEL
20996,21501,SIDE_STORY
