character_cast_id,voice_actor_id,role_notes,dub_group
14078,95113,,
15009,95123,,
15209,95125,,
15412,95128,,
15691,95130,,
15780,95131,,
35888,95442,,
49636,95898,,
8820,95067,,
8820,104926,,
8820,106920,,
9692,95075,,
9692,100143,,
9692,96163,,
9791,95076,,
9791,105717,,
9791,96090,,
15001,95123,,
15001,100144,,
15001,96268,,
15201,95125,,
15201,102964,,
15201,96239,,
15408,95128,,
15408,145190,,
15408,96291,,
15686,95130,,
15686,100881,,
15686,96275,,
15778,95131,,
15778,155789,,
15778,101797,,
40040,95557,,
40040,155792,,
40040,157939,,
42391,95651,,
42391,155790,,
42391,96240,,
54814,96173,,
54814,116361,,
54814,104534,,
70430,102555,,
70430,107323,,
70430,152875,,
196908,116415,,
196908,100438,,
196908,152875,,
196910,102631,,
196910,100927,,
196910,116933,,
196912,95299,,
196912,155791,,
196912,115238,,
196919,114846,,
196919,145115,,
8819,95067,,
8819,95360,,
8819,104926,,
8819,116713,,
8819,106920,,
8819,181960,,
8819,110097,,
9584,95074,,
9584,95858,,
9584,116707,,
9584,95774,,
9584,188408,,
9691,95075,,
9691,95472,,
9691,100143,,
9691,96163,,
9691,180472,,
9691,109753,,
9790,95076,,
9790,95189,,
9790,105717,,
9790,96090,,
9790,96442,,
9790,103812,,
15000,95123,,
15000,95253,,
15000,100144,,
15000,96268,,
15000,175197,,
15000,109819,,
15199,95125,,
15199,95159,,
15199,203165,,
15200,95125,,
15200,95312,,
15200,102964,,
15200,116929,,
15200,96239,,
15200,96830,,
15200,109919,,
15407,95128,,
15407,95659,,
15407,145190,,
15407,96291,,
15407,116185,,
15685,95130,,
15685,95475,,
15685,100881,,
15685,96275,,
15685,100178,,
15685,109865,,
15777,95131,,
15777,100431,,
15777,146605,,
15777,154686,,
15777,104532,,
16162,95134,,
16162,95474,,
16162,96240,,
16162,194114,,
16163,95134,,
16163,95256,,
16163,95860,,
16163,145190,,
16163,96160,,
16163,153004,,
16163,179914,,
22888,95201,,
22888,95836,,
22888,140341,,
22888,157834,,
22888,177125,,
24213,95230,,
24213,95313,,
24213,104916,,
24213,96280,,
24213,96445,,
24213,201430,,
24213,109921,,
27132,95277,,
30391,95336,,
30391,96485,,
30391,139851,,
30391,152875,,
30391,185026,,
33334,95395,,
33334,95822,,
33334,104245,,
33334,96232,,
33334,102438,,
39449,95538,,
39449,95574,,
39449,100886,,
39449,96663,,
39449,203166,,
42800,95662,,
42800,96302,,
42800,115236,,
42800,185360,,
42866,95666,,
42866,102945,,
42866,132225,,
42866,96087,,
42866,185358,,
48044,95851,,
48044,102356,,
48044,100897,,
48044,104985,,
48044,194017,,
48228,95859,,
48228,105833,,
48228,154683,,
48228,104993,,
48228,106453,,
65484,101097,,
65484,102451,,
65484,145016,,
65484,110323,,
65484,110097,,
70117,102450,,
70117,102950,,
72120,102976,,
72120,203166,,
163518,95836,,
163519,95075,,
163520,95076,,
163521,95067,,
163522,95123,,
163523,95128,,
163524,95230,,
163525,95125,,
163526,95130,,
8824,95067,,
8824,104926,,
8824,106920,,
8824,108965,,
9696,95075,,
9696,96163,,
9696,100143,,
9696,101616,,
9795,95076,,
9795,105717,,
9795,96090,,
9795,102228,,
15005,95123,,
15005,96268,,
15005,100144,,
15005,109819,,
15005,108959,,
15205,95125,,
15205,102964,,
15205,96239,,
15205,108975,,
15688,95130,,
15688,100881,,
15688,96275,,
15688,108961,,
16972,95142,,
16972,139850,,
16972,96240,,
16972,248345,,
34791,95420,,
34791,145190,,
34791,96291,,
34791,109025,,
50355,95927,,
50355,146357,,
50355,96663,,
50355,248350,,
68618,101919,,
68618,116707,,
68618,95774,,
68618,248346,,
217166,248344,,
217166,152875,,
217166,170343,,
217166,248347,,
217167,106275,,
217167,163188,,
217167,132225,,
217167,248348,,
8827,95067,,
8827,104926,,
8827,106920,,
9699,95075,,
9699,96163,,
9699,100143,,
9798,95076,,
9798,105717,,
9798,96090,,
15008,95123,,
15008,96268,,
15008,100144,,
15008,109819,,
15208,95125,,
15208,102964,,
15208,96239,,
15411,95128,,
15411,96291,,
15411,145190,,
15690,95130,,
15690,100881,,
15690,96275,,
16164,95134,,
16164,153694,,
16164,152875,,
17403,95146,,
17403,104240,,
17403,115238,,
27215,95278,,
27215,138008,,
27215,96663,,
91118,111463,,
91118,100894,,
91118,96233,,
214658,106919,,
8826,95067,,
8826,104926,,
8826,116713,,
8826,106920,,
8826,108965,,
9698,95075,,
9698,96267,,
9698,100143,,
9698,101616,,
9797,95076,,
9797,105717,,
9797,96090,,
9797,102228,,
15007,95123,,
15007,100144,,
15007,109819,,
15007,96268,,
15007,108959,,
15207,95125,,
15207,102964,,
15207,116929,,
15207,96239,,
15207,108975,,
15410,95128,,
15410,145190,,
15410,96291,,
15410,109025,,
15689,95130,,
15689,100881,,
15689,96275,,
15689,108961,,
16873,95141,,
16873,100883,,
16873,96663,,
16873,192708,,
28275,95292,,
28275,104259,,
28275,96293,,
28275,96088,,
28275,154495,,
28275,281095,,
33336,95395,,
40569,95576,,
40569,104245,,
40569,96092,,
40569,180550,,
76168,104893,,
76168,144995,,
76168,96160,,
76168,281094,,
187021,130887,,
187021,146353,,
187021,157939,,
187021,285766,,
187026,95284,,
187026,152875,,
187026,146605,,
187026,285767,,
187027,100439,,
187027,152875,,
187027,131210,,
187027,285764,,
187028,95142,,
187028,116933,,
187028,144980,,
187028,285765,,
8817,95067,,
8817,104926,,
8817,116713,,
8817,106920,,
9689,95075,,
9689,96267,,
9689,100143,,
9788,95076,,
9788,105717,,
9788,96090,,
14998,95123,,
14998,96268,,
14998,109819,,
14998,100144,,
15197,95125,,
15197,102964,,
15197,116929,,
15197,96239,,
15405,95128,,
15405,145190,,
15405,96291,,
15684,95130,,
15684,100881,,
15684,96275,,
24653,95237,,
24653,145882,,
24654,95237,,
24654,145883,,
24654,96293,,
33333,95395,,
33333,116891,,
40568,95576,,
40568,104245,,
40568,152875,,
41077,95598,,
41077,145190,,
41077,96236,,
55579,96252,,
55579,107323,,
55579,104534,,
58198,96469,,
58198,117119,,
58198,96236,,
68117,101730,,
68117,132488,,
68117,96240,,
94201,116891,,
94201,95744,,
214081,106922,,
214081,107622,,
214083,95395,,
214083,152875,,
8816,95067,,
8816,104926,,
8816,116713,,
8816,106920,,
9688,95075,,
9688,96267,,
9688,100143,,
9787,95076,,
9787,105717,,
9787,96090,,
14997,95123,,
14997,96268,,
14997,100144,,
14997,109819,,
15196,95125,,
15196,102964,,
15196,116929,,
15196,96239,,
15404,95128,,
15404,96291,,
15404,145190,,
16971,95142,,
16971,107600,,
16971,96093,,
20499,95179,,
20499,145192,,
20499,152875,,
23425,95208,,
23425,103174,,
23425,96160,,
37588,95483,,
37588,100886,,
45121,95744,,
45121,145189,,
45121,101797,,
214084,95001,,
214084,104256,,
214084,158619,,
8818,95067,,
8818,104926,,
9690,95075,,
9690,100143,,
9789,95076,,
9789,105717,,
14999,95123,,
14999,100144,,
15198,95125,,
15198,102964,,
15406,95128,,
15406,145190,,
15775,95131,,
15775,146605,,
15776,95131,,
15776,116419,,
24212,95230,,
24212,104916,,
25892,95255,,
25892,145192,,
62167,96881,,
62167,146606,,
171375,95006,,
171376,95155,,
171376,100886,,
171377,96049,,
171377,143986,,
240797,95125,,
3122,95014,,
3122,143901,,
3122,104985,,
