media_id,synonym
5667,To Love You OVA
5667,To Love Ru OVA
9181,Motto To-Love-Ru
9181,More Trouble
9181,More ToLoveRu
13663,To LOVE-Ru Trouble Darkness
13663,To-Love-Ru Darkness
13663,ToLoveRu Darkness
20995,To LOVE-Ru Trouble Darkness 2nd
21853,To Love Ru Darkness 2nd OVA
100659,To LOVE-Ru (2017)
100659,To Love ru: Trouble - Multiplication
100659, From the Front
100659, from Behind
52519,To LOVE-Ru Trouble Darkness
52519,To-Love-Ru Darkness
109316,To LOVEる - 矢吹健太郎20周年記念
109316,To Love-Ru: Kentaro Yabuki 20th Anniversary
109315,To LOVEる - 矢吹健太郎20周年記念
109315,To Love-Ru: Kentaro Yabuki 20th Anniversary
109315,Rito and Sayaka's Afterschool Special
30040,Stray Cat
2589,Black Cat Episode 14.5
2589,Black Cat OVA
160524,To Love-Ru: Mikan & Maruru
13851,To LOVE-Ru Trouble Darkness OVA
13851,To-Love-Ru Darkness OVA
13851,ToLoveRu Darkness OVA
13851,To Love Ru Darkness OVA
3455,To Love You
3455,ToLoveRu
3455,ToLoveRu Trouble
3455,To-LOVE-Ru
3455,วุ่นรักยัยต่างดาว 
119493,เรื่องอลวน คน ปิศาจ
142849,เรื่องอลวนคนปิศาจ
142849,Треугольник аякаси
108482,Leo x Leo
86685,To Love-Ru: Dangerous Girls Talk
86685,TO-LOVE-RU: PELIGROSA CHARLA DE CHICAS
7590,Stray Cats Overrun!
8599,Mayoi Neko Neko Neko Gekijou
8599,Mayoi Neko Neko Neko Gekijo
8599,Stray Cats Cats Cats Theater
39711,Бакуман
51274,Otter11
51274,Otters 11
51274,Otter no. 11
86513,Bakuman.: Age 13
86513,Bakuman.: Age 14
133105,PCP: Perfect Crime Party
15,Eyeshield21
1317,Eyeshield 21 Jump Fest 2004
30047,Kateikyoushi Hitman Reborn!
30047,Home Tutor Hitman Reborn!
30047,Tutor Hitman Reborn!
53504,Vongola Gran Prix Kuru
1604,Katekyo Hitman Reborn!
1604,ครูพิเศษจอมป่วน รีบอร์น!
1604,Gia sư HITMAN REBORN! 
143393,Katekyo Hitman Reborn! x ēlDLIVE Special
8532,REBORN! OVA
9023,Home Tutor Hitman Reborn!
91752,Reborn vs Evil Hitmen
47288,Reborn! Hidden Bullet
47288,ครูพิเศษจอมป่วน รีบอร์น Secret Bullet
169000,Gintama on Theater 2D: Thorny Arc
20760,"Shinsengumi Douran-hen, Kabuki Chou Shitennou-hen"
20760,Kabuki-chou Devas-hen
20760,Gintama: The Best of Gintama on Theater 2D
20882,Gintama: Jump Festa 2014 Special
20882,銀魂ジャンプフェスタアニメツアー’ 2014
20882,Gintama OAD
20882,Gintama' OVA
21588,Gintama: Love Potion Arc
2951,Gintama OVA
34836,Thirteen
7472,Gintama: Benizakura Arc - A New Retelling
7472,Gintama Movie: Crimson Sakura Chapter New Edition
7472,Gintama: Shin-yaku Benizakura-hen
9735,Gintama: Shinyaku Benizakura-hen OVA
9735,Gintama: Benizakura Arc - A New Retelling
9735,Gintama Movie: Crimson Sakura Chapter New Edition
9735,Gintama: Shin-yaku Benizakura-hen
52810,Bankara
52810,Here Comes Mr. Uncivilised
75757,Kulinarne Pojedynki
114043,食戟之灵：豪之皿
114043,ยอดนักปรุงโซมะ ภาค 5
109963,食戟之灵：神之皿
109963,ยอดนักปรุงโซมะ ภาค 4
100773,食戟之灵 餐之皿 远月列车篇
100773,ยอดนักปรุงโซมะ ภาค 3 ครึ่งหลัง
101924,Shokugeki no Souma: San no Sara OVA
101924,Shokugeki no Souma: San no Sara - Erina no Shin Seikatsu
101924,Food Wars! The Third Plate OVA
99255,食戟之灵 餐之皿
99255,ยอดนักปรุงโซมะ ภาค 3
21518,食戟之灵 贰之皿
21518,ยอดนักปรุงโซมะ ภาค 2
20923,لا سلام على طعام
20923,Food Wars! The First Plate
20923,食戟之灵
20923,ยอดนักปรุงโซมะ
21691,Food Wars! Shokugeki no Soma: Takumi's Downtown Competition
21691,Food Wars! Shokugeki no Soma: Erina's Summer Vacation
98702,Food Wars! The Second Plate: A Fateful Encounter Under the Autumn Moon
98702,Food Wars! The Second Plate: The Totsuki Elite Ten
98702,ยอดนักปรุงโซมะ ภาค 2 OVA
105229,Our Love Counseling
86160,Food Wars: Etoile
90653,Food Wars: à la Carte
61499, รักลวงป่วนใจ
85825,Magical Pâtissière Kosaki-chan!
20728, รักลวงป่วนใจ OVA
18897,Nisekoi: False Love
18897, รักลวงป่วนใจ
20876,Nisekoi2 -False Love-
20876, รักลวงป่วนใจ ภาค 2
119947,Nisekoi: (2016)
119947,ニセコイ: (2016)
5081,Monster Tale
5081,化物语
5081,ปกรณัมของเหล่าภูต
5081,Monogatari
54499,Bakemonogatari Short Stories
21400,Wound Tale 3: Cold Blood
143701,Koyomi Vamp
143701,Kizumonogatari - La Légende de Kiss-Shot
9260,Wound Tale 1: Iron Blood
21399,Wound Tale 2: Hot Blood
44893,Hitagi Crab
44893,Mayoi Snail
44893,Suruga Monkey
44893,Nadeko Snake
44893,Tsubasa Cat
44893,ปกรณัมของเหล่าภูต
44893,Bakemonogatari - Légendes chimériques
101311,Monster Tale
101311,Monogatari Series: First Season
101311,Истории монстров
101311,ปกรณัมของเหล่าภูต
101311,化物语
143663,漫画 化物語 シャフト制作特別PV
143663,Bakemonogatari Special PV
143704,Tsubasa Family
53751,Tsubasa Tiger
17074,Nekomonogatari White
17074,Kabukimonogatari
17074,Otorimonogatari
17074,Onimonogatari
17074,Koimonogatari
143720,Mayoi Jiangshi
143720,ปกรณัมเอนเอียง
143721,Suruga Devil
20593,Monogatari Series Second Season +α
20593,ปกรณัมแห่งบุปผา
100815,Continued End Tale
21745,Owarimonogatari 2
21745,End Tale
143747,Ougi Formula
143747,Sodachi Riddle
143747,Sodachi Lost
143747,Shinobu Mail
143747,Mayoi Hell
143747,Hitagi Rendezvous
143747,Ougi Dark
143749,Koyomi Reverse
96019,Orokamonogatari: Fool Tale
96019,Sodachi Fiasco
96019,Suruga Bonehead
96019,Tsukihi Undo
143762,Wazamonogatari: Sword Tale
143762,Princess Beauty
143762,Acerola Bon Appétit
143762,Karen Ogre
143762,Tsubasa Sleeping
143763,Nademonogatari: Caressing Tale
