media_id,score,amount
51274,90,30
51274,100,21
12365,10,102
12365,20,16
12365,30,63
12365,40,127
12365,50,375
12365,60,864
12365,70,2875
12365,80,6573
12365,90,7755
12365,100,4952
102608,10,11
102608,20,14
102608,30,23
102608,40,32
102608,50,139
102608,60,202
102608,70,304
102608,80,136
102608,90,66
102608,100,52
10030,10,107
10030,20,19
10030,30,62
10030,40,124
10030,50,450
10030,60,1082
10030,70,3621
10030,80,8108
10030,90,7436
10030,100,3680
102609,10,21
102609,20,18
102609,30,38
102609,40,57
102609,50,184
102609,60,252
102609,70,229
102609,80,116
102609,90,51
102609,100,44
7674,10,131
7674,20,69
7674,30,158
7674,40,270
7674,50,996
7674,60,2039
7674,70,6037
7674,80,11836
7674,90,8549
7674,100,4120
15711,10,8
15711,20,4
15711,30,12
15711,40,25
15711,50,91
15711,60,153
15711,70,264
15711,80,110
15711,90,44
15711,100,41
86513,10,2
86513,20,1
86513,30,3
86513,40,10
86513,50,29
86513,60,67
86513,70,136
86513,80,126
86513,90,46
86513,100,25
133105,60,2
133105,70,4
133105,80,4
133105,90,1
133105,100,2
95994,30,1
95994,50,1
95994,60,4
95994,70,7
95994,80,4
95994,90,1
95994,100,3
30043,10,23
30043,20,5
30043,30,21
30043,40,24
30043,50,92
30043,60,212
30043,70,638
30043,80,1382
30043,90,1546
30043,100,929
102052,10,3
102052,20,1
102052,30,4
102052,40,2
102052,50,15
102052,60,15
102052,70,36
102052,80,22
102052,90,10
102052,100,6
15,10,46
15,20,34
15,30,77
15,40,156
15,50,437
15,60,831
15,70,2143
15,80,2625
15,90,1772
15,100,903
6418,10,4
6418,20,12
6418,30,16
6418,40,23
6418,50,72
6418,60,107
6418,70,115
6418,80,51
6418,90,24
6418,100,24
1317,10,19
1317,20,9
1317,30,23
1317,40,32
1317,50,86
1317,60,146
1317,70,112
1317,80,51
1317,90,38
1317,100,27
30047,10,51
30047,20,60
30047,30,150
30047,40,215
30047,50,401
30047,60,616
30047,70,1444
30047,80,2101
30047,90,1964
30047,100,1298
53504,10,2
53504,20,1
53504,30,5
53504,40,6
53504,50,13
53504,60,18
53504,70,13
53504,80,6
53504,90,2
53504,100,2
1604,10,236
1604,20,157
1604,30,359
1604,40,680
1604,50,1234
1604,60,2020
1604,70,4709
1604,80,6586
1604,90,5604
1604,100,3817
143393,10,6
143393,20,5
143393,30,11
143393,40,14
143393,50,39
143393,60,37
143393,70,60
143393,80,20
143393,90,12
143393,100,16
21677,10,130
21677,20,130
21677,30,250
21677,40,365
21677,50,582
21677,60,759
21677,70,631
21677,80,253
21677,90,112
21677,100,91
85227,10,5
85227,20,11
85227,30,11
85227,40,18
85227,50,35
85227,60,41
85227,70,61
85227,80,45
85227,90,11
85227,100,9
8532,10,16
8532,20,18
8532,30,46
8532,40,51
8532,50,153
8532,60,298
8532,70,494
8532,80,340
8532,90,190
8532,100,164
9023,10,12
9023,20,16
9023,30,41
9023,40,52
9023,50,125
9023,60,190
9023,70,262
9023,80,154
9023,90,90
9023,100,80
91752,10,1
91752,20,2
91752,30,2
91752,40,3
91752,50,8
