character_id,alternative_name,is_spoiler
2110,Old Hag,False
2110,Witch,False
2110,Fortuneteller Baba,False
5499,Tien,False
5499,Tien Shinhan,False
6127,Shenron,False
6127,Shenlong,False
6127,Scenron,False
6127,Dragon God,False
6127,Divine Dragon,False
6108,God,False
6108,Guardian of Earth,False
3694,Frieza,False
3694,Freezer,False
6148,Gurd,False
40489,Farmer with a Shotgun,False
2104,Grandpa Gohan,False
41888,Tommy,False
6150,Reacoom,False
6150,Rikkum,False
9770,Pikkon,False
2111,Great Saiyaman 2 (グレートサイヤマン2号),False
2111,Great Saiyawoman,False
2111,Great Saiyagirl,False
2128,Eliza,False
677,Puar,False
677,Pu'erh,False
677,Squeaker,False
9777,Icarus,False
142958,Daiz,False
142959,Rezun,False
142961,Amond,False
142963,Lakasei,False
8373,Lord Slug,False
2103,Dr. Brief,False
2103,Dr. Briefs,False
2113,Scratch,False
6304,Coora,False
7309,Korin,False
7309,Cat Hermit,False
40421,Gourmeth,False
40436,Bongo,False
2112,Turtle,False
2112,Sea Turtle,False
27587,Penny,False
2105,Launch,False
2105,Marilynn,False
28028,Egor,False
28028,Igor,False
2141,Emperor Pilaf,False
2130,Crane Sage,False
2130,Master Shen,False
2130,Lord Wu Zu,False
2131,Mercenary Tao,False
2131,General Tao,False
2134,Full Metal Jacket,False
18063,Gatchan,False
2096,Oopa,False
3183,Dr. Slump,False
61685,Professor Monster,False
54801,Caramel Man 008,True
54801,Caramel Man 009,True
18071,Butch,False
62517,Drampire,False
13663,Kenta Kuraaku ,False
62521,Kinoko Salad,False
58439,Gara,False
21344,King Nikochan,False
16008,Poop,False
58431,Peach Boy,False
9773,King Yemma,False
9773,Lord Enma,False
3227,Bobobo,False
3230,Poppa Rocks,False
944,Eyeshield 21,False
17,Nine-Tails Jinchuuriki,False
17,The Show-Off,False
17,Number One Unpredictable,False
17,Noisy Ninja,False
17,Number One Hyperactive,False
17,Knucklehead Ninja,False
17,Fox,False
17,Seventh Hokage,True
17,Nanadaime,True
17,Child of Prophecy,True
17,Hero of the Hidden Leaf,True
17,Saviour of this World,True
17,Boy of Miracles,True
17,Konoha's Orange Hokage,True
2539,Mamo-nee,False
2539,Damn Manager,False
945,Commander from Hell,False
945,You-nii,False
955,Monta,False
955,Mon-Mon,False
3233,Gasser,False
3229,Jelly Jiggler,False
3229,Tokoroten,False
25829,Torpedo Girl,False
10768,Czar Baldy Bald III,False
3231,Dengaku,False
30204,Halon Oni,False
6484,Usa-chan the Rabbit,False
151391,Czar Baldy Bald IV,False
151391,Smoothie IV,False
151393,King Nosehair,False
151395,Kitty-Poo,False
151397,White Curse,False
151399,Captain Battleship,False
65643,Prince of the Fateful Eternal Wind,False
65643,Octopus of Idiotic Perverted Chicken,False
65643,Quiz Show,False
65643,Octopus,False
65643,The Creature of Mass Destruction,False
65643,Guinea Pig,False
65643,Unkillable Teacher,False
65643,Demon King,False
65643,Octorazzi,False
65643,Ryushi Korogane,True
65643,God of Death,True
65643,The Reaper,True
65643,The Grim Reaper,True
65645,Androgynous,False
65645,Gender,False
65645,The Grim Reaper in Camo,False
73883,Bitch-sensei,False
73883,Bitchy Vitchy,False
73883,Ирина Јелавић,False
73883,Bitchy Jelabitch,False
73883,Madame Pouffe,False
73883,Yellow Bitch,False
73881,Da Densest,False
73881,Karasuma-sensei,False
85291,Forever 0,False
85291,Princess,False
85291,Akari Yukimura,True
85291,Haruna Mase,True
71933,Semi-Senioritis,False
71933,Cool 'n' Aloof,False
71933,Reddie Redhead,False
71933,Mr. Humiliated Failure in The First Semester,False
71933,Twisted Twit,False
71933,Knight,False
71933,Eternal Eighth Grader,False
71933,Buddy,False
71933,Ginger Shrimp,False
85809,Pseudo-Takaoka,False
85809,Big G and Gorilla,False
85801,Mr. Handsome,False
85813,Terminal Perv,False
85815,This Manga is Amazing!,False
85803,Mistress Kanzaki,False
85803,Wife,False
85799,Motivated Meg,False
85799,Meg-meg,False
85805,Loofah,False
85299,Justice,False
85299,Baseball Geek,False
85811,Home Plate,False
85811,Black Noodles,False
88797,Lanky Artist,False
88797,Womanizer,False
88796,Kunugigaoka Mom,False
88796,Mommy,False
88798,English Lass,False
88799,The Darkness of Class E,False
88799,Witch,False
88800,Four-Eyes Kaboom-Boom,False
88805,Dating Sim Emo Character,False
88805,Mr. Carpenter,False
74832,Fixed Autonomously Thinking Artillery,False
74832,Box o' Moe,False
74832,自律思考固定砲台,False
85293,Picture Book Graduate,False
85819,Mr. Perfect,False
85819,Mr. Investments,False
88806,Tsundere Sniper,False
88806,Hot-and-Cold Sniper,False
90107,Kuu,False
90107,Kusuko,False
90107,Kuriko,False
90107,Cyborg Sodaman Mark II,False
90107,Psi,False
90107,Cyborg Ciderman II,False
90107,Saichael,False
90107,Four Eyes,False
90109,Tenshi,False
126857,Asumi Touma,False
127131,Anp,False
127131,Sun,False
127131,Moon,False
127132,Mr. Ike,False
127132,Ike-san,False
127133,Chouno Uryoku,False
127277,Tooru Mugami (六神通),False
125796,Chisapo,False
90112,The Jet-Black Wing,False
90115,Moneyhara,False
90115,Chiyopipi,False
158251,さいきくみ,False
158250,さいきくまごろう,False
224083,たかはし,False
225401,まつざき,False
225402,たけうちりき,False
225400,ねんどうみどり,False
672,Yorozuya,False
672,Mr. Odd Jobs,False
672,Shiroyasha,False
672,Gin,False
672,Gin-chan,False
672,Kintoki,False
672,Paako,False
672,Ginpachi-sensei,False
672,Ginnoji,False
672,GFundz,False
672,Boss,False
672,Ginpachi Sakata (坂田銀八),False
672,Corpse Eating Demon,False
672,White Yaksha,False
672,Gin-san,False
672,Tokiko,False
672,Ginko,False
672,Johnny,False
672,Danna,False
672,Earth Big Brother,False
672,Earth dad,False
673,Shin-chan,False
673,Shin,False
673,Pattsuan,False
673,Megane,False
673,Pachie,False
673,Shintank,False
673,Watson,False
673,Pasta,False
2946,Eli,False
2946,Shogun Ehou,False
2946,Eren,False
674,Gura,False
674,China Girl,False
674,Leader,False
674,Gurako,False
674,Kanna,True
32259,Leukocyte King,False
32259,Cosplay Hero,False
2944,Otae,False
2944,Anego,False
2282,Sou-chan,False
2282,The Prince of the Planet of Sadists,False
2282,S King,False
2282,Bakaiser,False
2282,Hitman Sougo 13,False
20478,Turtle Assassin,False
1533,Zura,False
1533,Fruit Punch Samurai,False
1533,Zurako,False
1533,Captain Katsura,False
1533,Katsuo,False
1533,ObaZ,False
10645,Hanano Ana,False
1759,Sacchan,False
31501,Stray Dog,False
31501,Komainu,False
32929,Uchee,False
2650,Mayora,False
2650,Demonic Vice-Commander,False
2650,Mayonnaise Lover 13,False
2650,Mayo 13,False
2650,Toushi,False
2650,Thorny,False
6110,Kyuu-chan,False
2948,Shinsuke-sama,False
2948,Hikusugi-kun,False
2948,Leader of the Kiheitai,True
2943,Gorilla,False
2943,Fruits Chinpo Samurai,False
2943,Gori-san,False
3760,Madao,False
3760,Piggy,False
47541,Buro Ryoushi,False
32233,Peacock Princess,False
49565,Fumi,False
52073,Shogun,False
12161,Mucchi,False
2651,Sadaemon Wolf The Mask,False
7929,Baka Ouji,False
12946,Admiral idiot,False
12946,Baka Teitoku,False
12946,Baka Aniki,False
55577,Nobutasu,False
55577,Mukuro,True
55579,Sabu-chan,False
55579,Monster of Three Heavens,False
32214,Princess,False
5972,God of Destruction,False
9877,Nishiki Matsugorou (北斗心 松五郎),True
5970,Terada Ayano,False
5970,Queen of Kabukichou,False
9876,Kankou (神晃),False
6615,Fuyou No. 0,False
6615,Hayashi Fuyou,False
6615,Tamagura,False
6187,Otsu,False
4653,Jimmy,False
4653,Zaki,False
4653,Anpanman,False
4653,Mohi-chan,False
4653,Mountain Zaki,False
18823,Tsukki,False
18823,The Moon of Yoshiwara,False
18823,Courtesan of Death,False
18030,Taka-chin,False
57337,Kin-chan,False
32277,Agomi,False
2947,Tsunpo,False
2947,Deaf Man,False
32207,Nes,False
174748,Yaemon,False
32275,Mademoiselle Saigou,False
124135,Shouyou Yoshida,True
124308,Master of Kouan,False
25666,Night King,False
72323,Messenger of the Heaven Yatagarasu ,False
195439,munch demon,False
203954,Kaiousei Shoukaku,False
203955,Uranus Hankai,False
8282,Ayu-tan,False
80065,Obi'Wan,False
80065,Galaxy Sword Master,False
77845,Jiiya,False
46407,Goku,False
17246,Switch (スイッチ),False
17246,An-chan (兄ちゃん),False
17246,Mr. Wild Pitch (ミスターワイルドピッチ),False
17246,Megane (メガネ),False
17246,Suiko (スイ子),False
41608,Chin Pirako,False
41608,Manslayer Pirako,False
41608,Pirarin,False
32838,Jirochon,False
32838,Boss of Kabuki District,False
46697,Magarfunkle,False
38995,Daisy,False
27403,Mimorin (ミモリン),False
42854,Yagi-chan,False
50245,Oniyome,False
54717,General Manager,False
38993,Chuu-san,False
38993,Chuu-sensei,False
67855,Rodan,False
17244,Bossun (ボッスン),False
17244,Boss-o (ボッスオ),False
17244,Ouji (王子),False
17244,Samurai-san (侍さん),False
17244,Leader (リーダー),False
17244,Bosuko (ボスコ),False
17244,Borsalino (ボルサリの),False
17244,Bo-san (ボさん),False
17244,Bosshuuton (ボッシュートン),False
17244,Bossman (ボッシュマン),False
17244,Milk (ミルク),False
17245,Himeko (ヒメコ),False
17245,Onihime (鬼姫),False
17245,Purin-san (プリンさん),False
17245,Himeo (ヒメオ),False
19462,Sassun (サッスン),False
19462,Sasuko (サスコ),False
42904,Bunny,False
58543,Old woman,False
43952,Edward,False
41975,Janitor,False
47377,Momotaro,False
207344,Moi (モイ),False
265162,Wolf (ウルフ),True
266624,Haimi (ハイミ),False
266630,Morihito no Chichi (守仁の父),False
266630,Morihito's Father,False
266651,Dengeki Melon (電撃メロン),False
84495,Sumi-chan,False
42443,Party Glasses,False
42441,Mi-chan,False
42442,Na-chan,False
42440,Ikkun,False
5511,Lala-chi,False
5511,Princess,False
5510,Riko Yuusaki,False
5513,Yami,False
5513,Yami-Yami,False
5513,Golden Darkness,False
5513,Eve,False
24803,Magical Kyouko Flame,False
14388,Oshizu,False
14894,Tear,False
41369,The Tyrant,False
41370,Master,False
44,Little Princess,False
42,Black Cat,False
42,Chrono Number XIII,False
45,Rins,False
6430,Chrono Number I,False
6437,Chrono Number V,False
7706,Chrono Number VIII,False
6441,Chrono Number XI,False
4398,Chrono Number VII,False
6431,Chrono Number X,False
6431,Glin,False
6429,Chrono Number II,False
7691,Doctor,False
275646,Ibuki Yamase (山瀬いぶき),False
314334,Principal,False
29147,Tatami,False
14545,Saiko,False
14552,Shujin,False
23482,Aoki Ko,False
23482,Yuri-tan,False
23683,Miyuki Haruno,False
14546,Amame,False
14546,Azukyun,False
23682,Akina Aiko,False
23481,Koogy,False
302040,1st Advertising Department Manager Otter 11,False
302040,Otter #11,False
302040,Otter No. 11,False
302040,ラッコ11号平帆水産株式会社第一宣伝部部長,False
45933,Yasu,False
40128,Usomine,False
15445,Taro Kawaguchi,False
946,Damn Fatass,False
6822,Musashi,False
6822,60-Yard Magnum,False
28487,The Human Dome,False
31334,Deimon Devil Bat,False
34768,Maria,False
10530,Doc,False
7202,Rik-kun,False
7202,Riku-Riku,False
3700,Yuki,False
3700,The Ambusher,False
947,The Perfect Player,False
957,Prince Gentle,False
7750,Kid,False
7007,Panther,False
1859,Stupid Cow,False
1859,Crybaby Lambo,False
1859,Bomber Head Lambo,False
671,Elder PaoPao,False
671,Reboyama,False
671,Vongolavsky,False
671,Professor Borin,False
5013,Nagi,False
1535,Smokin' Bomb Hayato,False
1535,Hurricane Bomb Hayato,False
1535,Ahodera,False
1535,Octopus head,False
1858,Kyo-san,False
1858,Strongest Vongola Guardian,False
1853,Pineapple Head,False
1853,Pineapple Fairy-san,False
1861,Turf head,False
670,Tsuna,False
670,Tsu-kun,False
670,10th,False
670,Juudaime,False
670,No Good Tsuna,False
670,Vongola Decimo,False
670,Neo Vongola Primo,False
670,Boss,False
1556,Baseball Idiot,False
1556,Yamamo-chan,False
24447,Wolfbane,False
12012,Lightning Gamma,False
4373,Boss,False
4373,Varia Leader,False
4373,Vongola Decimo candidate,False
18796,Siel,False
31929,Vongola Rain Swallow,False
31929,Rondine di Pioggia ,False
17565,Flan,False
5006,Viper,False
27350,Hedgehog of Cloud,False
19360,Vongola VI,False
19360,Vongola Sesto,False
36118,Vongola Lightning Bull ,False
18834,Storm Cat,False
18834,Gatto Tempesta Ver. Vongola,False
1860,Poison Scorpion Bianchi,False
4377,2nd Sword Emperor,False
4377,Squ-chan,False
4377,Superbi,False
4377,Varia Second-in-Command,False
4377,Varia Rain Guardian,False
4377,Varia Strategy Commander/Captain (future),True
12532,Vongola I,False
12532,Vongola Primo,False
12532,Shodaime,False
12532,Ieyasu Sawada,False
31338,Vongola's First Sun Guardian,False
31335,First Generation Vongola Cloud Guardian,False
4374,Leviathan,False
4374,Levi,False
1760,Ranking Fuuta,False
1881,Mother,False
31332,Vongola First Lightning Guardian,False
154390,Weronika,False
154392,ドクター・ラヴ,False
154392,Dr. Love,False
227516,ニノチカ,False
227516,Ninochika,False
227516,Ninotchka,False
227518,Assistant Inspector Chips,False
227521,Doru,False
88090,Rein Blick,False
227524,Gucci,False
227527,Aunt Mimi,False
4372,Bel,False
4372,Prince the Ripper,False
1862,Shippo Atama,False
56029,Tetsu,False
32238,The Sun of Yoshiwara,False
7157,Sho-chan,False
7157,Shogun-sama,False
7157,Ue-sama,False
68361,The Super-Alloy Noble Youth,False
68523,The White Base,False
75284,Erina-cchi,False
75284,God Tongue,False
76026,Dunce,False
76026,Légumes Koro-pok-guru,False
76026,Légumes Zashiki-warashi,False
76026,Légumes Yuki-ko,False
75216,Soma Yukihira,False
75216,1st Seat,True
85785,Isami-cchi,False
85777,Takumi-cchi,False
85777,The One Who Cuts Through The Horizon of Flavors,False
85775,Prince of Smoke,False
85779,The Mist Princess,False
78935,Nikumi,False
78935,Nikumi-cchi,False
78935,The Meat Expert,False
85781,Kojiro,False
85781,The Légumes Magician,False
85781,Vegetarian Magician,False
85773,Little Red Riding Hood of the Forest of Wild Beasts,False
77495,Jouichirou Saiba,False
77495,Asura,False
88721,The Walking Flavor Dictionary ,False
88956,Chief Alice,False
88956,Heaven Sent Child of Molecular Gastronomy,False
88956,Global Innovator,False
88972,Mad Dog,False
121219,Tsukassan,False
121219,Der Weiße Ritter der Tafel,False
89066,Rindo,False
122706,Curry man,False
122708,Hishoko,False
156421,Azami Nakamura,False
126812,An,False
181780,Shoji Sato,False
89210,The Alchemist,False
140802,Boiling Witch,False
203140,The Don,False
48393,Beansprout,False
48393,Darling,False
48393,Big Bro,False
48393,Young Master,False
48391,Gorilla,False
48391,Mistress,False
48391,Honey,False
48391,Half-san,False
48391,Ojou-sama,False
52723,Dera-chan,False
52723,Onee-chan,False
66597,Mari,False
66597,Ojou-sama,False
58885,Black Tiger,False
82937,Ryuu,False
84915,Fuu,False
84915,風,False
82933,Four-Eyes,False
84919,Madam Flower,False
82935,Adel,False
63489,That Thing,False
63489,Glasses Buddy,False
84917,White Fang,False
58281,Ruri-chan,False
58281,Glasses Buddy,False
123575,Nee-chan,False
167794,Shinobu,False
22037,Tsundere-chan,False
22037,Gahara-san,False
22037,Senshougahara-san,False
22036,Arararagi,False
22036,Koyomin,False
22036,Koyokoyo,False
22036,Devil Boy,False
22036,Kind Monster Sir,False
22036,Monstieur,False
22055,Class Rep-chan,False
22052,Lost Snail,False
22054,Suruga Gaen,False
22054,Ruga,False
22054,Gaen's Legacy,False
24195,Rara-chan,False
42364,Guillotinecutter,False
42363,Sode,False
23602,キスショット・アセロラオリオン・ハートアンダーブレード (Kiss-Shot Acerola-Orion Heart-Under-Blade),False
23602,鉄血にして熱血にして冷血の吸血鬼 (The Iron-blooded‚ Hot-blooded‚ Cold-blooded Vampire),False
23602,Princess Beauty,False
23602,Acerola,False
23602,Rola,False
53641,Suzuki,False
89151,Euler,False
87886,Dark Koyomin,True
87886,Araragi Koyomi,True
149322,Tyrannical Tiger,False
149322,Hysteria Tiger,False
149322,Kasha,False
149323,Araragi Matriarch,False
149323,Mother Araragi,False
155934,Mayoi no Haha,False
155934,真宵の母,False
155934,Hachikuji's Mother,False
155936,Middle School Student,False
155936,中学生,False
155937,Middle school girl,False
137915,Hoshiame Higasa,False
137496,Tooe Kanbaru,False
137496,Toue Gaen,False
138020,The Death-prepared,False
138020,Death-inevitable,False
138020,Death-certain Vampire,False
138020,Death,False
193484,Nakuna-chan,False
29595,Humanity's Strongest,False
29595,Overkilled Red,False
29595,Desert Eagle,False
29595,One Against a Thousand,False
29595,The Storm Before The Storm,False
